variant,fold,window_count,window_mae,window_rmse,window_bias,session_macro_mae,raw_pa_id_group_macro_mae,train_time_seconds,inference_latency_ms_per_window,parameter_count
dynamic,0,38454,3.9722973444305953,5.282832936265342,-2.0094032127852124,4.007300612263072,4.799945567320341,14.818887941539288,0.00039417086038437204,5921
dynamic,1,38503,3.8303305144698157,4.957890684193386,-0.9530289193469559,3.84819934181817,3.9580631247352804,15.994800128042698,0.0004974188960793946,5921
dynamic,2,38361,3.3501246108948752,4.25013337629372,0.33263991943928034,3.351435563852735,3.9655393262311494,14.991488493978977,0.0002121907330128632,5921
dynamic,3,38503,3.272242395349658,4.002063394921,0.3603436285003149,3.2767297716612487,3.8681676338741986,12.491118505597115,0.00018630224868972168,5921
dynamic,4,38398,4.063734883368302,5.266177774080369,-1.9877406009445013,4.068786764043702,4.850548643894973,12.434757836163044,0.00018042423612245998,5921
dynamic,0,36898,4.0402375029605855,5.265686169871966,-1.752873763774002,4.067245246684293,4.746168868053897,17.06419561058283,0.0007858755217121121,5921
dynamic,1,36947,3.958612647116786,5.129862473474121,-1.2542553702336312,3.9755055296650768,3.945956570378572,15.014072261750698,0.0005180249727959336,5921
dynamic,2,36785,3.469854137021529,4.331908559640202,0.40594489120085697,3.4673381078525902,4.115480566723968,16.000592961907387,0.0006679248531113926,5921
dynamic,3,36903,3.2856027717251535,4.020913479371767,0.11433680275638287,3.2870244798601953,3.935227977780862,14.514885790646076,0.0006704462581451864,5921
dynamic,4,36810,4.113370864856376,5.226359118814937,-1.7165462774059366,4.112579588993984,4.797299784762457,15.498123668134212,0.0005672466444017057,5921
dynamic,0,33707,4.11941573400359,5.298804618810118,-1.5097512401624722,4.1327689345596745,4.7443606580601125,14.299965493381023,0.000660959799747273,5921
dynamic,1,33755,4.014756144037813,5.136699935401907,-0.9952605835509607,4.044819510472834,4.050036973276041,11.967744179069996,0.008943221150919377,5921
dynamic,2,33555,3.6327917897493434,4.444091987847437,0.6307386552216381,3.623922932718906,4.317464744846861,12.469307839870453,0.0006809117914471821,5921
dynamic,3,33636,3.4698700673912746,4.198698886075666,0.4811547687552973,3.4658358080949814,4.050361269649133,13.451522566378117,0.00045152698037797027,5921
dynamic,4,33562,4.142427527224674,5.213595659873428,-1.6141242178437907,4.1361229820899155,4.604386782058139,11.180503576993942,0.0004057680496363353,5921
dynamic,0,30567,4.235501204551906,5.506228131328432,-2.025755618331235,4.25379375948215,4.880827841422776,13.671137303113937,0.000989290221998618,5921
dynamic,1,30611,4.219218214748849,5.29329157378298,-0.633844536500639,4.235844406188966,4.192242061470072,15.094290226697922,0.018337198296202648,5921
dynamic,2,30375,3.6807796700717,4.548624509650011,0.3907225056557989,3.6686501362134534,4.227441048251497,14.113422982394695,0.0009285849308280788,5921
dynamic,3,30409,3.5291346854320573,4.240081981951535,0.7332544051897969,3.5192937094958596,4.060772937794521,10.70164792984724,0.0009022856708138857,5921
dynamic,4,30363,4.28993373209594,5.391233540613803,-1.859051765678028,4.269742852255021,4.718787319819801,13.37100126594305,0.0008007061401775255,5921
dynamic,0,20542,4.573966613595575,5.673886365465519,-1.6438532954366794,4.552735942255908,5.071437315704002,11.757984831929207,0.025857852924393535,5921
dynamic,1,20747,4.446541778977052,5.706814468415087,-1.548006557398959,4.501090570755422,4.2528647380893405,11.005623310804367,0.021706371113278007,5921
dynamic,2,20249,4.08926549066855,4.860113746109715,0.36120200869513003,4.0708024228293365,4.360498705062896,8.83844032138586,0.0012728111367972376,5921
dynamic,3,20209,3.718244478947818,4.47264581819129,0.08885057542683776,3.6936759919417805,4.30972738177096,8.779294028878212,0.0023281414538667616,5921
dynamic,4,20214,4.6277298202993045,5.716841312921932,-2.1187596381377003,4.571309538740299,5.12073214155203,10.586232654750347,0.002356123190623452,5921
