duration_seconds,common_anchor_count,mae,rmse,bias
10,98059,4.250955454474749,5.249112069872449,-0.9446028412384655
20,98059,4.249221276155704,5.233329016409414,-0.9173590573569735
40,98059,4.228575643856908,5.151933457967707,-0.4648058565496483
60,98059,4.275710931205666,5.233155563759615,-0.573504292277706
120,98059,4.283146121755539,5.2861400632322315,-0.9552057331522736
