model,fold,slice_type,slice_value,window_count,mae,rmse,bias
dynamic,1,fms_bin,5-10,12880,2.158600192836353,2.6363011814721187,0.727743765970935
dynamic,1,fms_bin,10-15,5636,4.12665438778947,4.929422174589353,-4.063038549920699
dynamic,1,fms_bin,15-20,5741,9.002937935221343,9.294987493747639,-9.002937935221343
dynamic,1,missing_slice,complete_dynamic,30613,3.9149113392769928,5.071488910099131,-1.236877917924094
dynamic,1,missing_slice,missing_dynamic,3142,4.987559774891728,5.733373708315448,1.3588550934588204
dynamic,2,fms_bin,0-5,12687,3.9497498461866978,4.612869480057324,3.9219739497614645
dynamic,2,fms_bin,5-10,12373,2.3178068755814323,2.6962182372584445,1.1517644399468596
dynamic,2,fms_bin,10-15,5117,3.1623201387478828,3.8185008545169965,-3.1104932099272085
dynamic,2,fms_bin,15-20,3378,7.971591351369629,8.219011348509701,-7.971591351369629
dynamic,2,missing_slice,complete_dynamic,30411,3.540742363988861,4.344294094106185,0.55058588136019
dynamic,2,missing_slice,missing_dynamic,3144,4.523159183770343,5.313522746123605,1.4060331863604731
dynamic,3,fms_bin,0-5,10874,3.812408300649381,4.417736405939913,3.7968788393196737
dynamic,3,fms_bin,5-10,13410,2.4268009234505925,2.876004283207592,1.23871040945174
dynamic,3,fms_bin,10-15,5810,3.1896928266075517,3.9210519823940397,-3.0177864489169623
dynamic,3,fms_bin,15-20,3542,6.826907402441907,7.138700231167455,-6.826907402441907
dynamic,3,missing_slice,complete_dynamic,31045,3.364534188284546,4.075489967016333,0.6556742934793603
dynamic,3,missing_slice,missing_dynamic,2591,4.731989853909374,5.462968616985927,-1.6099137935984416
dynamic,4,fms_bin,0-5,8278,3.636542724307305,4.331743992703527,3.5965757587446223
dynamic,4,fms_bin,5-10,11556,2.0404983708585327,2.4548488811300206,0.12107272290902882
dynamic,4,fms_bin,10-15,7632,4.004408072125737,4.617064644949865,-4.004402135653066
dynamic,4,fms_bin,15-20,6096,8.986747115615785,9.276717845049175,-8.986747115615785
dynamic,4,missing_slice,complete_dynamic,30934,4.000982193391294,5.072114341628148,-1.4792625827395307
dynamic,4,missing_slice,missing_dynamic,2628,5.807370433161429,6.656655040012296,-3.201570877020036
dynamic,0,fms_bin,0-5,6998,3.1169672966957367,3.7999395284717727,3.03701665701952
dynamic,0,fms_bin,5-10,10897,1.9984967580593824,2.4292233718336878,0.22241292709143345
dynamic,0,fms_bin,10-15,6967,4.17971799280203,4.743957027698589,-4.139749457303328
dynamic,0,fms_bin,15-20,5705,9.94852125308265,10.294535017008934,-9.94852125308265
dynamic,0,missing_slice,complete_dynamic,26820,4.1831319282963415,5.474934392401501,-2.206903606728775
dynamic,0,missing_slice,missing_dynamic,3747,4.610346144283489,5.725228462564288,-0.7291479191526846
dynamic,1,fms_bin,0-5,7490,4.207085150838376,5.060400492855488,4.153235969842674
dynamic,1,fms_bin,5-10,12226,2.518797167443847,3.039262287970895,1.2294582936644027
dynamic,1,fms_bin,10-15,5204,3.4410172566187374,4.28289129997976,-3.189884050729914
dynamic,1,fms_bin,15-20,5691,8.59981602869183,8.966008492081619,-8.59981602869183
dynamic,1,missing_slice,complete_dynamic,26847,4.096460191338636,5.2049827963083874,-0.9307136511933218
dynamic,1,missing_slice,missing_dynamic,3764,5.0947986224252535,5.884850890974243,1.4835957191195674
dynamic,2,fms_bin,0-5,10462,4.100128591117611,4.725459230722694,4.071428973527557
dynamic,2,fms_bin,5-10,11616,2.140775369115933,2.5788073635951507,1.1230851954706116
dynamic,2,fms_bin,10-15,4957,3.390673723243912,4.022260464107174,-3.3366008912552645
dynamic,2,fms_bin,15-20,3340,8.153688869576253,8.430691501662782,-8.153688869576253
dynamic,2,missing_slice,complete_dynamic,26606,3.5926682220171657,4.458861342106951,0.32712587510554636
dynamic,2,missing_slice,missing_dynamic,3769,4.302773086611616,5.137860156145656,0.839661734209797
dynamic,3,fms_bin,0-5,8947,4.298373732977744,4.874937014884677,4.294179558287629
dynamic,3,fms_bin,5-10,12432,2.500372889937121,2.919511336524851,1.6859104497744157
dynamic,3,fms_bin,10-15,5513,2.6308951332892176,3.3575338432361437,-2.505094102911047
dynamic,3,fms_bin,15-20,3517,6.616760370437822,6.869419849052985,-6.616760370437822
dynamic,3,missing_slice,complete_dynamic,27315,3.4149178908025304,4.1047672055290825,0.9958433242545075
dynamic,3,missing_slice,missing_dynamic,3094,4.537483665815229,5.286504979919263,-1.5849797009034703
dynamic,4,fms_bin,0-5,6687,3.9118745560173283,4.556552971462622,3.8371701098993003
dynamic,4,fms_bin,5-10,10534,1.8903446871301401,2.309293486653839,0.1972770582052071
dynamic,4,fms_bin,10-15,7165,4.047058148893209,4.54959327818086,-4.047058148893209
dynamic,4,fms_bin,15-20,5977,9.233142074701757,9.497963950783902,-9.233142074701757
dynamic,4,missing_slice,complete_dynamic,27278,4.1009367932426555,5.1925528112796755,-1.661048723268792
dynamic,4,missing_slice,missing_dynamic,3085,5.961071008608059,6.903520854992331,-3.6098222651396616
dynamic,0,fms_bin,0-5,3216,5.273473924887714,5.543338457773544,5.273473924887714
dynamic,0,fms_bin,5-10,7221,2.02959981603217,2.4258915468946975,1.5923905089330415
dynamic,0,fms_bin,10-15,5405,3.4164231261757103,3.8780954885950782,-3.394774400890149
dynamic,0,fms_bin,15-20,4700,9.335621864998593,9.661293174167149,-9.335621864998593
dynamic,0,missing_slice,complete_dynamic,17244,4.496708577261589,5.599734886539809,-1.72813390347112
dynamic,0,missing_slice,missing_dynamic,3298,4.977919790837315,6.04680775039422,-1.2031817354166991
dynamic,1,fms_bin,0-5,3185,5.39432202927546,5.808352663363535,5.392992024893289
dynamic,1,fms_bin,5-10,8962,1.7736587576556488,2.3351679901224687,1.0948524674090176
dynamic,1,fms_bin,10-15,3750,3.451628881518046,3.7886202983317077,-3.4327709133783975
dynamic,1,fms_bin,15-20,4850,9.53244299657566,9.797269423224705,-9.53244299657566
dynamic,1,missing_slice,complete_dynamic,17241,4.331131751393091,5.674100542111329,-2.052810597894059
dynamic,1,missing_slice,missing_dynamic,3506,5.014078654497607,5.865033122643581,0.9344025875457137
dynamic,2,fms_bin,0-5,4896,5.631564471213257,5.8331503638813675,5.631026388042503
dynamic,2,fms_bin,5-10,8299,2.1951328762928712,2.526186123579823,2.019335318393112
dynamic,2,fms_bin,10-15,4080,3.0699233053946027,3.3981276324093193,-3.0699233053946027
dynamic,2,fms_bin,15-20,2974,8.234264439516767,8.435686077135836,-8.234264439516767
dynamic,2,missing_slice,complete_dynamic,16879,4.060378881192644,4.813978047517657,0.5110382306306691
dynamic,2,missing_slice,missing_dynamic,3370,4.233947117180074,5.084894422227662,-0.3892684928033755
dynamic,3,fms_bin,0-5,3495,5.545611570560199,5.841075421300484,5.5367109392163405
dynamic,3,fms_bin,5-10,8959,2.2700407097070583,2.6332266899570342,1.988321276484942
dynamic,3,fms_bin,10-15,4537,2.632623987153734,3.0512700852731416,-2.620677381931277
dynamic,3,fms_bin,15-20,3218,7.296016310741622,7.49285826697235,-7.296016310741622
dynamic,3,missing_slice,complete_dynamic,17469,3.533605829934726,4.226733238783952,0.49282537368393575
dynamic,3,missing_slice,missing_dynamic,2740,4.89541694595866,5.800317641724082,-2.486709917548799
dynamic,4,fms_bin,0-5,2885,5.528341034917319,5.805880040810246,5.515248490950057
dynamic,4,fms_bin,5-10,6699,1.5642871374086686,1.9049388202407673,1.2503967676648169
dynamic,4,fms_bin,10-15,5666,3.6446895820279024,3.903902637189578,-3.6446895820279024
dynamic,4,fms_bin,15-20,4964,9.360535051676653,9.55000324797262,-9.360535051676653
dynamic,4,missing_slice,complete_dynamic,17312,4.305368381457717,5.367814992216422,-1.728700883645227
dynamic,4,missing_slice,missing_dynamic,2902,6.550790202527273,7.467394405843128,-4.445671132890871
