fold,event_count,up_count,down_count,high_fms_event_count,abs_update_magnitude_mean,abs_update_magnitude_p95,stair_duration_mean_seconds,stair_duration_median_seconds,stair_duration_p95_seconds
0,3273,2049,1224,459,1.4506568897036358,3.0,5.427405475404827,1.026600000000002,26.340034079999995
1,3057,1871,1186,663,1.327445207719987,3.0,6.253041954203467,1.0274,27.895127999999996
2,2661,1626,1035,411,1.299511461856445,3.0,7.014217385043198,1.5278000000000134,31.513299999999987
3,2900,1783,1117,433,1.2879310344827586,2.0,6.5333278535172425,1.0332285000000003,29.402349785000002
4,3165,1939,1226,748,1.2774091627172195,2.0,5.999200081864124,1.5261999999999887,25.394246959999997
