experiment_id,stage,model,input_features,static_features,window_seconds,loss,missing_strategy,auxiliary_tasks,prediction_file,selector_column,selector_value,split_hash,parameter_count,checkpoint
stage3_missing_ffill_mask_time_lstm,3,ffill_mask_time_lstm,six-axis dynamic sequence + missing masks/time-since,none,10,Huber,causal forward fill + mask + time since last observed,none,D:\27340\Git\OpenRDW\shared\data\exports\stage3\missingness_experiments\predictions_10s_stage3.csv,variant,ffill_mask_time_lstm,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,6689,
stage4_history_10s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,10.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,
stage4_history_20s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,20,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,20.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,
stage4_history_40s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,40,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,40.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,
stage4_history_60s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,60,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,60.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,
stage4_history_120s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,120,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,120.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,
stage4_dose_local_sequence,4,local_sequence,six-axis dynamic sequence + missing masks,none,10,Huber,causal zero/forward dose states,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\dose_diagnostics\predictions_stage4.csv,variant,local_sequence,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,
stage4_dose_cumulative_dose,4,cumulative_dose,causal cumulative motion dose,none,10,Huber,causal zero/forward dose states,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\dose_diagnostics\predictions_stage4.csv,variant,cumulative_dose,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,929,
stage4_dose_window_stats,4,window_stats,causal window statistics,none,10,Huber,causal zero/forward dose states,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\dose_diagnostics\predictions_stage4.csv,variant,window_stats,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,1729,
stage4_dose_sequence_plus_dose,4,sequence_plus_dose,dynamic sequence + causal cumulative dose,none,10,Huber,causal zero/forward dose states,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\dose_diagnostics\predictions_stage4.csv,variant,sequence_plus_dose,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,6849,
stage4_static_static_only,4,static_only,static susceptibility branch only,age/gender/MSSQ + missing masks,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,static_only,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,801,
stage4_static_dynamic,4,dynamic,six-axis dynamic sequence + missing masks,none,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,dynamic,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,
stage4_static_cumulative_dose,4,cumulative_dose,causal cumulative motion dose,none,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,cumulative_dose,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,929,
stage4_static_static_dose,4,static_dose,static susceptibility + causal dose,age/gender/MSSQ + missing masks,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,static_dose,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,1153,
stage4_static_static_dynamic,4,static_dynamic,dynamic sequence + static susceptibility,age/gender/MSSQ + missing masks,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,static_dynamic,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,6721,
stage4_static_static_dynamic_dose,4,static_dynamic_dose,dynamic sequence + dose + static susceptibility,age/gender/MSSQ + missing masks,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,static_dynamic_dose,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,7073,
stage4_multitask_dynamic,4,dynamic,six-axis dynamic sequence + missing masks,none,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\multitask_diagnostics\predictions_stage4.csv,variant,dynamic,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,
stage4_multitask_multitask,4,multitask,six-axis dynamic sequence + missing masks,none,10,Huber + auxiliary losses,zero after train-fold standardization + mask,update event + future 5s/10s delta,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\multitask_diagnostics\predictions_stage4.csv,variant,multitask,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,6996,
