experiment_id,stage,model,input_features,static_features,window_seconds,loss,missing_strategy,auxiliary_tasks,prediction_file,selector_column,selector_value,split_hash,parameter_count,checkpoint,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape,session_uid_macro_mae,session_uid_macro_rmse,session_uid_macro_r2,session_uid_macro_normalized_dtw,session_uid_count,raw_pa_id_macro_mae,raw_pa_id_macro_rmse,raw_pa_id_macro_r2,raw_pa_id_macro_normalized_dtw,raw_pa_id_count,fms_ge_10_auprc,fms_ge_10_precision,fms_ge_10_recall,fms_ge_10_f1,fms_ge_15_auprc,fms_ge_15_precision,fms_ge_15_recall,fms_ge_15_f1,mae_fold_mean,mae_fold_std,rmse_fold_mean,rmse_fold_std,r2_fold_mean,r2_fold_std,pearson_r_fold_mean,pearson_r_fold_std,spearman_r_fold_mean,spearman_r_fold_std,bias_fold_mean,bias_fold_std,paired_vs_selected_paired_sessions,paired_vs_selected_mean_diff,paired_vs_selected_ci_low,paired_vs_selected_ci_high,paired_vs_selected_improved_fraction
stage4_history_10s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,10.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,192219,3.6977328416006103,4.781208079492909,0.2019998739846509,0.4785272800320887,0.49251403600119414,-0.8513966701697934,0.7171283984246476,3.7094751791095004,4.251448654366246,-1.609859305206669,3.3796621941326537,428,4.273188083112389,5.017028787041076,-2.0948238621579964,nan,86,0.44400209712722644,0.4532626195662468,0.08375772212596909,0.1413884785819793,0.22098971368241555,0.0,0.0,0.0,3.6977459497026492,0.36359280269582456,4.751819633150763,0.5922052474410169,0.19579433824367415,0.08508807460904375,0.5058409950846456,0.0322414748144562,0.5197872221001311,0.038175260283948756,-0.8514378370274148,1.1739722083914612,428,0.1377201957390772,-0.03600526360101471,0.3079581928841586,0.4719626168224299
stage4_history_20s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,20,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,20.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,184343,3.7735954709858093,4.822823562412508,0.17537747346912558,0.4486400737976589,0.4588980188136468,-0.8411088238562099,0.6675490229057116,3.7808197270712096,4.289182360744909,-2.053671141400486,3.500793706915,428,4.293792544352242,4.999654195523489,-2.842087598007388,nan,86,0.44879071421086564,0.4554416011152046,0.07996084121462162,0.13603783124646818,0.22535426522891286,0.0,0.0,0.0,3.7735355847360865,0.37120489676097473,4.794945960234599,0.5773674404108057,0.16728251943900455,0.08143144760917032,0.4678758359122446,0.04329009809641227,0.47871021090043103,0.04286808192470092,-0.840678743491266,1.0291276036441832,428,0.20906474370078812,0.025027640813202558,0.38350024658715726,0.4158878504672897
stage4_history_40s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,40,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,40.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,168215,3.8760530900846066,4.8794283096064675,0.14697565843680183,0.4059731273119763,0.4081033345533527,-0.6022583341044329,0.6195426514545035,3.879721602797873,4.372165518200177,-3.934869686826385,3.626020577817791,428,4.3433533573837435,5.024314967648918,-8.35679183600139,nan,86,0.469982184395223,0.4991571964547877,0.1631535918672022,0.24592469560791355,0.2396198078863817,0.0,0.0,0.0,3.8758522524813395,0.30560585763334636,4.858378217601711,0.5011057087534928,0.134288782643534,0.05732075696002041,0.42632890273864055,0.03643078276899253,0.429156187082691,0.037520897530165936,-0.6014485235160577,1.083504609757232,428,0.30796661942745124,0.12763946112999894,0.4891730100876182,0.397196261682243
stage4_history_60s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,60,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,60.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,152325,3.991448883154935,5.02225978097479,0.10120492519944291,0.3572631043837037,0.35655128466544284,-0.680154580908731,0.6003221782574991,3.988271729221909,4.479425401687689,-17.6732646956122,3.7284243245445072,428,4.405760909631887,5.123314276313845,-73.04088792204428,nan,86,0.4575906325538091,0.47999477556706865,0.20403064623584277,0.2863450425297059,0.22989723492292508,0.0,0.0,0.0,3.9909135013800907,0.35734505497033375,4.995891947465353,0.5649073814500144,0.08994205362318937,0.08037286069170486,0.3920522012545909,0.05337663360733591,0.38820830064333095,0.05453218623108382,-0.6789350019328613,1.2596706518006189,428,0.41651674585148685,0.23581047451565235,0.5958467645324282,0.37149532710280375
stage4_history_120s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,120,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,120.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,101961,4.2928305395989765,5.314888500893674,-0.037426366252913734,0.11799125846079937,0.07336084608019043,-0.9768791303896911,0.5311732796502684,4.2767593869344465,4.668149608729086,-30.579672125924105,4.176750292199903,428,4.609317264829709,5.278799575949102,-7.171345503571223,nan,86,0.4467511337871848,0.46566760840191623,0.08587803552011598,0.14501291001243188,0.22012688412663856,0.0,0.0,0.0,4.29114963649766,0.3828824586251781,5.286060342220709,0.5822561709364521,-0.04975976595672547,0.08610259069973279,0.15833375233220118,0.05723419289993916,0.14171029878385394,0.04200439998746735,-0.9721133813702743,1.1181524434880226,428,0.7050044035640272,0.4873116325719733,0.9242883751852129,0.3341121495327103
