experiment_id,fold,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage1_10s_mean_fms,0,38454,4.513660623829022,5.680633578319663,-0.03052077996067415,2.494731511330903e-14,nan,-0.9776113020309348,0.6846613032120482
stage1_10s_mean_fms,1,38503,4.396735421208822,5.538288761557669,-0.003598789040072603,-2.3718201995762707e-14,nan,-0.33164520765329764,0.7155540721253115
stage1_10s_mean_fms,2,38361,4.271647831571653,5.0685133389472306,-0.06409976225100911,-3.4934698607987516e-15,nan,1.2439921220077859,0.7746092448949079
stage1_10s_mean_fms,3,38503,4.070313505976973,4.894592234912112,-0.03866526382143731,5.68782526066155e-14,nan,0.9443635192054946,0.740365695188478
stage1_10s_mean_fms,4,38398,4.6288763200155705,5.672966482771579,-0.024563450373952245,6.92264117531831e-14,nan,-0.878386138465497,0.7319312970259162
stage1_10s_ridge_window_stats,0,38454,3.979450171382761,5.079144555963629,0.1761572066771091,0.45720890641359146,0.4628483365164994,-1.0142895468843183,0.6512969809164109
stage1_10s_ridge_window_stats,1,38503,3.954254435907777,4.9197287780368075,0.20806186013084793,0.46002975658675843,0.45275550796303266,-0.3296757834537551,0.6973513251520506
stage1_10s_ridge_window_stats,2,38361,3.7515776758870834,4.50490479677843,0.15939417848934911,0.475126698927999,0.48123525182773436,1.2453041797109978,0.7357288824748848
stage1_10s_ridge_window_stats,3,38503,3.5424148208180033,4.211410679168653,0.23105060052303328,0.5199905344576673,0.5232313178708075,0.951886452661398,0.7148759876276385
stage1_10s_ridge_window_stats,4,38398,4.065097191246639,5.048266805674812,0.18865974693016074,0.45893003216895484,0.45605863133703745,-0.8302162839059813,0.7020799241896589
stage1_10s_causal_tcn_linear,0,38454,3.9778719393344386,5.077631507597077,0.1766479697630089,0.4577310309143931,0.464865599170926,-1.0141581266423756,0.6511796680406222
stage1_10s_causal_tcn_linear,1,38503,3.9522690524908666,4.91767959674147,0.20872144399181736,0.4607326089635051,0.45437354388388657,-0.3291625362716991,0.6972680319786921
stage1_10s_causal_tcn_linear,2,38361,3.749566240923444,4.503788817257055,0.1598106057965567,0.4755371699657485,0.4832748577349696,1.2445847896726188,0.7355558638089094
stage1_10s_causal_tcn_linear,3,38503,3.539430577545619,4.2084091991155015,0.2321462732119084,0.5210200256545098,0.5257889662716672,0.9516263925336442,0.7146798852330576
stage1_10s_causal_tcn_linear,4,38398,4.06193871007122,5.045347508925741,0.1895978344827115,0.4599240401572799,0.4581379024703814,-0.8297027738440385,0.7018465278664144
stage1_30s_mean_fms,0,35346,4.138867966104392,4.962793580629288,-0.01449949480384749,2.135678142211537e-14,nan,0.593303253086266,0.6650298453918044
stage1_30s_mean_fms,1,35380,4.702037368521201,5.84977793137808,-0.03238761151649516,-1.3921756796607819e-14,nan,-1.0361137763907309,0.6677944749797472
stage1_30s_mean_fms,2,35185,4.222111977762919,5.1451440075738,-0.009105593609724627,5.1364407370630365e-14,nan,-0.48874616167560503,0.6164585060409796
stage1_30s_mean_fms,3,35345,4.104002044854039,4.964279162781832,-0.055231000689041965,-2.7871107990152128e-15,nan,1.135726818171346,0.6815791638272096
stage1_30s_mean_fms,4,35211,4.484918583656471,5.531626350480244,-0.001384186007449717,-4.024673097474874e-14,nan,-0.20565993763463677,0.6711233698033542
stage1_30s_ridge_window_stats,0,35346,3.763546262487109,4.612020982909429,0.12384294869919776,0.38534563722152376,0.40014186682859465,0.5364361025994621,0.6403329468284582
stage1_30s_ridge_window_stats,1,35380,4.211342621985894,5.263099265679038,0.16430626321478148,0.44525476613501175,0.4456301444402384,-1.0334672380328498,0.6347595203383001
stage1_30s_ridge_window_stats,2,35185,3.6376305140143876,4.462783538347244,0.2408052626789121,0.5043396119161387,0.5061274279755357,-0.5111365096844089,0.564798736477757
stage1_30s_ridge_window_stats,3,35345,3.692905386973782,4.430214383450988,0.1596027250770753,0.4692264464423846,0.4814853335587429,1.1842226529513389,0.6538982382433753
