variant,fold,event_auprc,event_f1,event_recall,future_5s_delta_mae,future_10s_delta_mae
multitask,0,0.10483006704352862,0.12914035313829103,0.1580441640378549,1.012152575955408,1.5436834620499118
multitask,1,0.1103138078891647,0.17307812990272983,0.47048788809280107,0.9120688495441408,1.4135797573430329
multitask,2,0.08926134365133262,0.14522517236320964,0.38372093023255816,0.8380541453646226,1.3103661868359118
multitask,3,0.09049266806161482,0.14426053021127708,0.3820384889522452,0.8717967264944521,1.3710629801582932
multitask,4,0.10262791792722693,0.15931545518701482,0.2948090107737512,0.9661248134750802,1.5152233583249488
