model,fold,window_count,window_mae,window_rmse,window_r2,window_bias,session_macro_mae,session_macro_rmse,raw_pa_id_group_macro_mae,raw_pa_id_group_macro_rmse,train_time_seconds,inference_latency_ms_per_window,parameter_count,trainable_parameters,peak_gpu_memory_mb,variant
standard_huber_lstm,0,38454,3.9608867430473667,5.24000226759332,0.1231482961742113,-1.899090536022441,3.9870150158159596,4.5477776997962405,4.626810503514899,5.431682311602241,16.11623454838991,0.0020159303726591704,5921,5921,222.98681640625,standard_huber_lstm
standard_huber_lstm,1,38503,3.816325112291427,4.913625085259651,0.21002568733055327,-0.8642610984307043,3.828719991754795,4.361744425959455,3.8931596974154328,4.559291843464425,17.664465442299843,0.0017869090289632163,5921,5921,222.19189453125,standard_huber_lstm
standard_huber_lstm,2,38361,3.3449440387010307,4.250254998611436,0.25174240764541267,0.293186359290258,3.345904723586926,3.8974643522460113,3.937745280857798,4.639548354753698,16.726200610399246,0.001497680126093329,5921,5921,223.072265625,standard_huber_lstm
standard_huber_lstm,3,38503,3.1860068521671345,3.9502275810844067,0.3234703921710842,0.10253120876642226,3.1909862196228698,3.7007611536554172,3.8224041059596434,4.520677635115586,15.872276589274406,0.0018155975279627108,5921,5921,222.19189453125,standard_huber_lstm
standard_huber_lstm,4,38398,3.9845408227715158,5.119746940240756,0.16552099607691217,-1.6558214824962407,3.989099733092762,4.560148368653479,4.661315095841815,5.5587540150104156,14.810798928141594,0.002465058100447691,5921,5921,223.03759765625,standard_huber_lstm
weighted_huber_lstm,0,38454,4.002413143216711,5.052877858640657,0.18465614762868843,0.1505435068574346,4.021836946667219,4.679134244754377,4.4811114977001925,5.300036926585856,23.035860136151314,0.0027515375450483663,5921,5921,222.19287109375,weighted_huber_lstm
weighted_huber_lstm,1,38503,4.453383421999595,5.304576303208971,0.07931654485792938,1.7091471906385183,4.477501021100807,4.995622274837811,5.528825771876267,6.153868948456225,18.49680169671774,0.0017984518849273516,5921,5921,222.94091796875,weighted_huber_lstm
weighted_huber_lstm,2,38361,4.085249901260699,5.049322428147999,-0.05605701592299828,2.291813310555915,4.081440585013558,4.71714383639596,5.043261586200484,5.89344006986694,16.351465731859207,0.0023211121329183276,5921,5921,222.19287109375,weighted_huber_lstm
weighted_huber_lstm,3,38503,3.6858339530564566,4.482181183976086,0.1289935116437273,1.8256633487935376,3.6865942309967954,4.284871967565502,4.134186236859701,4.858620278630533,15.742314532399178,0.0013473520581605784,5921,5921,222.94091796875,weighted_huber_lstm
weighted_huber_lstm,4,38398,4.021322508090366,5.011701569133893,0.20037046232409028,0.38219213664793267,4.021785675905258,4.678822555589079,4.358734119314388,5.298424372624368,22.773826129734516,0.0027559933963433687,5921,5921,222.1923828125,weighted_huber_lstm
multitask_high_fms_lstm,0,38454,3.943096131160751,5.2115932963302924,0.13263032570821687,-1.8417796262018196,3.972280438102597,4.528946197918631,4.635966129528458,5.423975412176156,20.805434927344322,0.0019221658989265517,5954,5954,222.9931640625,multitask_high_fms_lstm
multitask_high_fms_lstm,1,38503,3.8264801986640333,4.926702187550622,0.20581522292188237,-0.8704688126535796,3.841545900782426,4.362757762862343,3.924762458585834,4.575553603691251,24.361228421330452,0.0020699283396972018,5954,5954,222.1982421875,multitask_high_fms_lstm
multitask_high_fms_lstm,2,38361,3.3290164702061875,4.2437788101868374,0.2540209369575799,0.2803160485064429,3.3305866692712125,3.8887064676462604,3.9431794331758727,4.670354661882429,21.004783630371094,0.001912889226454179,5954,5954,223.07861328125,multitask_high_fms_lstm
multitask_high_fms_lstm,3,38503,3.1838802175577827,3.953739296563824,0.32226700048277446,0.020122162972760288,3.1891678740286906,3.6918018066254557,3.8354140045629297,4.527072927514045,26.07633539289236,0.0016996552085757574,5954,5954,222.1982421875,multitask_high_fms_lstm
multitask_high_fms_lstm,4,38398,3.973668846665115,5.107802783556823,0.16941006388345337,-1.644618479400614,3.9780599410279347,4.549691039870298,4.633191179043549,5.529306956157106,27.86323780566454,0.002018638939725601,5954,5954,223.0439453125,multitask_high_fms_lstm
