model,slice_type,slice_value,window_count_mean,mae_mean,rmse_mean,bias_mean
multitask_high_fms_lstm,fms_bin,0-5,13707.4,2.8568940562144225,3.6303082703071494,2.63770944210182
multitask_high_fms_lstm,fms_bin,10-15,6472.2,4.024627921468354,4.7109010384225085,-3.991473611168351
multitask_high_fms_lstm,fms_bin,15-20,4956.0,8.766437075618308,9.050429505230266,-8.766437075618308
multitask_high_fms_lstm,fms_bin,5-10,13308.2,2.2680260154150576,2.6990744238301976,0.20662344084201917
multitask_high_fms_lstm,missing_block_class,long_contiguous_missing,990.2,5.4216266425835045,6.202228548736417,-0.2798592643814807
multitask_high_fms_lstm,missing_block_class,no_missing,36646.2,3.580258582201209,4.619189752969552,-0.8316484740014914
multitask_high_fms_lstm,missing_block_class,short_contiguous_missing,807.4,4.7647739615249565,5.599553032609334,-0.8591278281817815
multitask_high_fms_lstm,missing_slice,complete_dynamic,36646.2,3.580258582201209,4.619189752969552,-0.8316484740014914
multitask_high_fms_lstm,missing_slice,missing_dynamic,1797.6,5.127265931250219,5.939737532297154,-0.5416843687169293
standard_huber_lstm,fms_bin,0-5,13707.4,2.862992693966207,3.6345915406918485,2.638863039501997
standard_huber_lstm,fms_bin,10-15,6472.2,4.000587120811746,4.693389942871821,-3.9764818188803672
standard_huber_lstm,fms_bin,15-20,4956.0,8.76248631271596,9.042101698141092,-8.76248631271596
standard_huber_lstm,fms_bin,5-10,13308.2,2.2834353855253844,2.718063424239861,0.21734597229957925
standard_huber_lstm,missing_block_class,long_contiguous_missing,990.2,5.383373879626262,6.161438453216795,-0.1878892702661691
standard_huber_lstm,missing_block_class,no_missing,36646.2,3.5880903176765306,4.626069325839149,-0.8241852049183939
standard_huber_lstm,missing_block_class,short_contiguous_missing,807.4,4.806660485218931,5.642788336438689,-0.9870045788960822
standard_huber_lstm,missing_slice,complete_dynamic,36646.2,3.5880903176765306,4.626069325839149,-0.8241852049183939
standard_huber_lstm,missing_slice,missing_dynamic,1797.6,5.124827595837262,5.934661817103749,-0.5452844085174757
weighted_huber_lstm,fms_bin,0-5,13707.4,4.156018258906568,5.304887344609286,3.9919455970927515
weighted_huber_lstm,fms_bin,10-15,6472.2,2.5771402389854265,3.5383028298959474,-1.3980943351542314
weighted_huber_lstm,fms_bin,15-20,4956.0,5.850591788648043,6.421806933122632,-5.848611286563232
weighted_huber_lstm,fms_bin,5-10,13308.2,3.876417938645512,4.411485491144887,2.4648311808219194
weighted_huber_lstm,missing_block_class,long_contiguous_missing,990.2,6.121037432829249,7.104112992687625,3.560123144092599
weighted_huber_lstm,missing_block_class,no_missing,36646.2,3.961807871373973,4.870638409656084,1.1719305209904336
weighted_huber_lstm,missing_block_class,short_contiguous_missing,807.4,5.390572689448245,6.298377127513178,2.685427257551675
weighted_huber_lstm,missing_slice,complete_dynamic,36646.2,3.961807871373973,4.870638409656084,1.1719305209904336
weighted_huber_lstm,missing_slice,missing_dynamic,1797.6,5.791640123797187,6.752443398713924,3.16310237815
