comparison,scope,fold,mae_diff
lstm_minus_causal_tcn,complete_dynamic,0,-0.003306501751330515
lstm_minus_causal_tcn,complete_dynamic,1,0.03339166358664203
lstm_minus_causal_tcn,complete_dynamic,2,-0.2045204900990094
lstm_minus_causal_tcn,complete_dynamic,3,0.06577515319880334
lstm_minus_causal_tcn,complete_dynamic,4,0.029655325222303297
lstm_minus_causal_tcn,missing_dynamic,0,0.058438082991220774
lstm_minus_causal_tcn,missing_dynamic,1,0.17469442562231396
lstm_minus_causal_tcn,missing_dynamic,2,0.003399445383696964
lstm_minus_causal_tcn,missing_dynamic,3,-0.03295650233083691
lstm_minus_causal_tcn,missing_dynamic,4,-0.08004972048756542
