duration_seconds,model,bias_15_20,mae_15_20,systematic_underestimate
10,ridge_window_stats,-8.437027064557936,8.437027064557936,True
10,causal_tcn_linear,-8.431471578525683,8.431471578525683,True
30,ridge_window_stats,-8.17122810511255,8.17122810511255,True
30,causal_tcn_linear,-8.169036092513927,8.169036092513927,True
60,ridge_window_stats,-8.179312213370082,8.179312213370082,True
60,causal_tcn_linear,-8.168728809897477,8.168728809897477,True
