variant,window_mae_mean,window_mae_std,window_rmse_mean,window_rmse_std,window_bias_mean,window_bias_std,session_macro_mae_mean,session_macro_mae_std,raw_pa_id_group_macro_mae_mean,raw_pa_id_group_macro_mae_std,folds,window_count_mean,parameter_count
cumulative_dose,3.7489598483121633,0.3800895775440502,4.787382220208694,0.5941335739070185,-0.8507339209832498,1.1566863279238,3.755114640159241,0.3826276446100886,4.309515763481082,0.4333962069896005,5,38443.8,929
dynamic,3.68322471648709,0.3731795563663572,4.738109813571657,0.586201666182461,-0.8867308110036383,1.1011495971022371,3.6942103764953855,0.38039363984151353,4.254756507407155,0.47696150857031355,5,38443.8,5921
static_dose,3.62961958970254,0.3891987291930664,4.710644095315917,0.47313667958702105,-0.5783663733807165,1.381399546034836,3.628022670163336,0.38089134075137243,4.247155567247544,0.2560280306869377,5,38443.8,1153
static_dynamic,3.5616136317824454,0.37537879641178445,4.567206266769116,0.4443367259238188,-0.2718052231785766,1.73791430188601,3.5734574434161472,0.3812585148577752,4.089899247357158,0.11259865262518122,5,38443.8,6721
static_dynamic_dose,3.5953643924133702,0.40785796248764217,4.647980981182207,0.4701045691243742,-0.3975931877531757,1.5520100299782977,3.600415928421677,0.4053740466638553,4.195281914065754,0.25521806251355267,5,38443.8,7073
static_only,4.232162104813796,0.34370096315753074,5.347602680426749,0.49543081306276443,-0.3917770800359666,1.6670710328179759,4.25021725339734,0.3487587453406102,4.731142690544409,0.5044909994142148,5,38443.8,801
