duration_seconds,n,mae,rmse,bias
10.0,192219,3.6977328416006103,4.781208079492909,-0.8513966701697934
120.0,101961,4.2928305395989765,5.314888500893674,-0.9768791303896911
20.0,184343,3.7735954709858093,4.822823562412508,-0.8411088238562099
40.0,168215,3.8760530900846066,4.8794283096064675,-0.6022583341044329
60.0,152325,3.991448883154935,5.02225978097479,-0.680154580908731
