variant,near_update_event,n,mae,rmse,bias,flat_interval
dynamic,0,177669,3.6596776825195487,4.7432127973149605,-0.7595071684723672,
dynamic,1,14550,4.162421642890859,5.222918591657992,-1.9734527441959098,
multitask,0,177669,3.6786924325638966,4.760758039848219,-0.7817881999823232,
multitask,1,14550,4.156837640199874,5.220423132633865,-2.011109523300043,
dynamic,,14550,4.162421642890859,5.222918591657992,-1.9734527441959098,0
dynamic,,177669,3.6596776825195487,4.7432127973149605,-0.7595071684723672,1
multitask,,14550,4.156837640199874,5.220423132633865,-2.011109523300043,0
multitask,,177669,3.6786924325638966,4.760758039848219,-0.7817881999823232,1
