variant,fold,window_count,window_mae,window_rmse,window_bias,session_macro_mae,raw_pa_id_group_macro_mae,train_time_seconds,inference_latency_ms_per_window,parameter_count
local_sequence,0,38454,3.9722973444305953,5.282832936265342,-2.0094032127852124,4.007300612263072,4.799945567320341,17.809415474534035,0.0007310760630679377,5921
local_sequence,1,38503,3.8303305144698157,4.957890684193386,-0.9530289193469559,3.84819934181817,3.9580631247352804,12.777240626513958,0.00023295511670711147,5921
local_sequence,2,38361,3.3501246108948752,4.25013337629372,0.33263991943928034,3.351435563852735,3.9655393262311494,13.08126100897789,0.0004282154239773772,5921
local_sequence,3,38503,3.272242395349658,4.002063394921,0.3603436285003149,3.2767297716612487,3.8681676338741986,12.27802761644125,0.00043788565520085017,5921
local_sequence,4,38398,4.063734883368302,5.266177774080369,-1.9877406009445013,4.068786764043702,4.850548643894973,10.040845908224583,0.00019206288202497273,5921
cumulative_dose,0,38454,4.09085528764498,5.372896882725941,-2.037612876951859,4.101873920513187,4.856191732686184,7.450367175042629,6.376510447159245e-05,929
cumulative_dose,1,38503,3.8842043665880674,4.997574292538155,-0.9955266981460124,3.8918145052223134,4.018244980315896,7.38745479285717,6.770424615828133e-05,929
cumulative_dose,2,38361,3.455148542332253,4.32826459542123,0.5761194942343152,3.455872810448004,4.1701783992548815,5.828423224389553,0.00013680451511886133,929
cumulative_dose,3,38503,3.2320416728183856,3.987142952577705,0.056246169879183044,3.236989480695436,3.832404879379775,9.53876581043005,7.502382285773956e-05,929
cumulative_dose,4,38398,4.107585700106277,5.288366036364926,-1.9859132466760052,4.112449677844881,4.789542203653011,8.051872432231903,8.501477636169087e-05,929
window_stats,0,38454,4.00412958191351,5.323718296562786,-2.0825223109848414,4.036823687988835,4.750024747348543,9.06137179583311,9.709760781512987e-05,1729
window_stats,1,38503,3.8659104183921906,4.992571475500443,-0.9654770140536056,3.8779071414443704,3.908454986018851,9.691084250807762,0.0001782850810739216,1729
window_stats,2,38361,3.4260489636048557,4.2931903908441145,0.5405173814632378,3.4279934907011693,4.176624419121109,8.476060420274734,0.00022332222399984203,1729
window_stats,3,38503,3.20256323950373,3.9654905796337783,0.09362754859735578,3.207573623121752,3.8238316184543013,8.805763617157936,0.00014075352873575676,1729
window_stats,4,38398,4.025837085285413,5.1957434432308744,-1.816703221909273,4.030730859252728,4.70911066854619,8.667943365871906,0.0001638336065902245,1729
sequence_plus_dose,0,38454,3.984175411163877,5.209205758208321,-1.6977733400767399,3.9911547182401566,4.628122126514263,16.399897351861,0.00022880145166335292,6849
sequence_plus_dose,1,38503,3.8495641279558983,4.965324977367965,-0.942829940417858,3.859272701156627,3.960540531390608,20.30211092531681,0.0004684509737003723,6849
sequence_plus_dose,2,38361,3.4377036442806,4.29793812371151,0.6370226274966535,3.439116844271386,4.164209946849264,19.43960463255644,0.0004926946724341524,6849
sequence_plus_dose,3,38503,3.1758552608875643,3.9208708740421065,0.0820371145100246,3.1812900413360206,3.8000990617186505,17.64468251168728,0.0002172948295313473,6849
sequence_plus_dose,4,38398,4.045155032234358,5.224070307251222,-1.9648418432738335,4.049957638754345,4.7025984638805385,17.666475147008896,0.00024159436046074402,6849
