duration_seconds,fold,model,metric_slice,window_count,window_mae,window_rmse,window_r2,session_macro_mae,session_macro_rmse,raw_pa_id_group_macro_mae,raw_pa_id_group_macro_rmse,train_time_seconds,inference_latency_ms_per_window,parameter_count
10.0,2,mean_fms,complete_dynamic,36448,4.262483777856372,5.060015439346593,-0.07817565049194619,,,,,,,
10.0,2,mean_fms,missing_dynamic,1913,4.446248683545575,5.2277839408426185,-0.039116058386603036,,,,,,,
10.0,2,ridge_window_stats,,38361,3.7515776758870834,4.50490479677843,0.15939417848934911,3.7499030217963516,4.2564366504529785,4.333865207669116,4.954010942421724,20.862729258835316,0.0022677290269000412,37
10.0,2,ridge_window_stats,fms_bin_0-5,16880,4.157995613996438,4.767255369318908,-11.753040614623655,,,,,,,
10.0,2,ridge_window_stats,fms_bin_10-15,5197,3.1048257214626562,3.769180995075082,-7.376573306195578,,,,,,,
10.0,2,ridge_window_stats,fms_bin_15-20,3365,7.6349766892598945,7.936047538908246,-23.581144366412477,,,,,,,
10.0,2,ridge_window_stats,fms_bin_5-10,12919,2.4692181613625235,2.9062091136517267,-4.427235206221543,,,,,,,
10.0,2,ridge_window_stats,complete_dynamic,36448,3.7115536723216067,4.456358122730242,0.16373098776973916,,,,,,,
10.0,2,ridge_window_stats,missing_dynamic,1913,4.514146877117546,5.3462965264739015,-0.08676309336633237,,,,,,,
10.0,2,causal_tcn_linear,,38361,3.749566240923444,4.503788817257055,0.1598106057965567,3.7478704321509446,4.254570269727544,4.331696709337386,4.954322850904642,130.1289417296648,0.005145188856944032,97
10.0,2,causal_tcn_linear,fms_bin_0-5,16880,4.154341560128639,4.765872852280493,-11.74564485416456,,,,,,,
10.0,2,causal_tcn_linear,fms_bin_10-15,5197,3.1003595399378994,3.7664319139121036,-7.364358725820823,,,,,,,
10.0,2,causal_tcn_linear,fms_bin_15-20,3365,7.631272197436215,7.932411841115257,-23.55862707662063,,,,,,,
10.0,2,causal_tcn_linear,fms_bin_5-10,12919,2.470781450550641,2.9080544085685536,-4.4341294306951715,,,,,,,
10.0,2,causal_tcn_linear,complete_dynamic,36448,3.7096681007096666,4.455327606679053,0.16411771117651786,,,,,,,
10.0,2,causal_tcn_linear,missing_dynamic,1913,4.509737393308471,5.343805698087442,-0.08575068794886942,,,,,,,
